liman_turk_adi;liman_turk_kodu
BAKIRKÖY ÝDO TERMÝNALÝ;TRIST-014
MALTEPE ÝDO TERMÝNALÝ;TRIST-015
TÜRKELÝ DEMÝR MEVKÝÝ;TRIST-016
HALÝÇ TERSANESÝ;TRIST-017
ALSANCAK LÝMANI;TRIZM-001
DEMÝR VE TCDD ÝZMÝR ALS.LÝMANI;TRIZM-002
LEVENT MARÝNA;TRIZM-003
ADMARÝN TERSANESÝ;TRIZT-001
AKTAÞ TANK TERMÝNALÝ;TRIZT-002
ALTINOVA TERSANESÝ;TRIZT-003
ALTINTAÞ TERSANECÝLÝK;TRIZT-004
ALTINTEL LÝMAN VE TERMÝNALÝ;TRIZT-005
ASLAN ÇÝMENTO LÝMANI;TRIZT-006
AUTOPORT LÝMANI;TRIZT-007
BAYRAMOÐLU ÝSKELESÝ;TRIZT-008
BELDEPORT;TRIZT-009
BEÞÝKTAÞ TERSANESÝ;TRIZT-010
CEMRE TERSANESÝ;TRIZT-011
ÇAYIROVA CAM SANAYÝ ÝSKELESÝ;TRIZT-012
ÇOLAKOÐLU METALURJÝ LÝMAN TESÝSÝ;TRIZT-013
DÝLER DEMÝR ÇELÝK ENDÜSTRÝ VE TÝC. A.Þ. LÝMANI;TRIZT-014
DP WORLD YARIMCA KONTEYNER TERMÝNALÝ;TRIZT-015
DÜZGÝT TERSANESÝ;TRIZT-016
AK YAHCT YATÇILIK SAN. TÝC. A.Þ.;TRIZT-017
EFESANPORT LÝMAN TESÝSÝ;TRIZT-018
ESKÝHÝSAR DEMÝR;TRIZT-019
EVYAPPORT KÝRAZLIYALI LÝMANI;TRIZT-020
FORD OTOSAN YENÝKÖY ÝSKELESÝ;TRIZT-021
GÜBRETAÞ YARIMCA LÝMANI;TRIZT-022
HABAÞ TÜTÜNÇÝFTLÝK PLATFORMU;TRIZT-023
HATSAN TERSANESÝ;TRIZT-024
ÝGSAÞ LÝMANI;TRIZT-025
ÝZMÝT DEMÝR;TRIZT-026
KOCATEPE TERSANESÝ;TRIZT-027
KORUMA KLOR ÝSKELESÝ;TRIZT-028
KROMAN ÇELÝK A.Þ. LÝMAN TESÝSLERÝ;TRIZT-029
KURBAN TERSANESÝ;TRIZT-030
LÝMAÞ LÝMANI;TRIZT-031
MÝLANGAZ DOLUM TESÝSÝ;TRIZT-032
NACÝ SELÝMOÐLU TERSANESÝ;TRIZT-033
NORTHSTAR+E171:E213 TERSANESÝ;TRIZT-034
NUH ÇÝMENTO SANAYÝ A.Þ. LÝMAN TESÝSÝ;TRIZT-035
OP-AY PLATFORM ÝSKELE;TRIZT-036
ÖZATA TERSANESÝ;TRIZT-037
PETLÝNE PLATFORMU VE BORU HATTI;TRIZT-038
PETROL OFÝSÝ A.Þ. DERÝNCE TERMÝNALÝ;TRIZT-039
POLÝPORT LÝMANI;TRIZT-040
ROTA LÝMANI;TRIZT-041
SAFÝ DERÝNCE LÝMANI;TRIZT-042
SEFÝNE TERSANESÝ;TRIZT-043
SHELL DERÝNCE TERMÝNALÝ;TRIZT-044
ÇÝMTAÞ GEMÝ ÝNÞAA;TRIZT-045
SOLVENTAÞ TEKNÝK DEPOLAMA A.Þ.;TRIZT-046
TOTAL OÝL TÜRKÝYE DOLFEN TESÝSÝ;TRIZT-047
TURKUAZ- ÝZGÝN TERMÝNALÝ;TRIZT-048
TÜPRAÞ ÝZMÝT RAFÝNERÝSÝ LÝMANI;TRIZT-049
TÜRKOÐLU TERSANESÝ;TRIZT-050
ATLAS TERSANESÝ;TRIZT-051
UZMAR TERSANESÝ;TRIZT-052
YARIMCA DEMÝR;TRIZT-053
YAÞARSAN TERSANESÝ;TRIZT-054
YATCHLEY GEMÝ YAPIM;TRIZT-055
YILPORT KONTEYNER TERMÝNALÝ VE LÝMANI;TRIZT-056
ÝDO ESKÝHÝSAR ÝSKELESÝ;TRIZT-057
HEREKE KURUYÜK DEMÝR YERÝ;TRIZT-058
HEREKE SIVIYÜK DEMÝR YERÝ;TRIZT-059
YILDIZ ENTEGRE LÝMAN TESÝSÝ;TRIZT-060
PORT YARIMCA;TRIZT-062
TURQUOISE SHIPYARD YAT VE GEMÝ SAN. A.Þ.;TRIZT-063
NORSE TERSANECÝLÝK SAN.TÝC.A.Þ.;TRIZT-064
UM TERSANESÝ;TRIZT-065
VEGA YATÇILIK (SERBEST BÖLGE);TRIZT-066
KAÞ YAT LÝMANI;TRKAS-001
1 NOLU DEMÝRLEME SAHASI;TRKAS-002
2 NOLU DEMÝRLEME SAHASI;TRKAS-003
3 NOLU DEMÝRLEME SAHASI;TRKAS-004
4 NOLU DEMÝRLEME SAHASI (Demre);TRKAS-005
CENAL KARABÝGA ÝSKELESÝ;TRKRB-001
ÝÇDAÞ TERSANE (TEÇHÝZ RIHTIMI);TRKRB-0010
ÝÇDAÞ-1 (DEÐÝRMENCÝK);TRKRB-002
ÝÇDAÞ-2 (BEKÝRLÝ);TRKRB-003
KARABÝGA BELEDÝYE LÝMANI;TRKRB-004
ÝÇDAÞ TERSANE (KURU HAVUZ);TRKRB-006
1 NOLU DEMÝRLEME SAHASI;TRKRB-007
2 NOLU (TEHLÝKELÝ) DEMÝRLEME SAHASI;TRKRB-008
3 NOLU DEMÝRLEME SAHASI;TRKRB-009
1 NOLU DEMÝR SAHASI;TRKRT-001
2 NOLU DEMÝR SAHASI;TRKRT-002
KUÞADASI YOLCU LÝMANI;TRKUS-001
D-MARÝN DÝDÝM MARÝNA;TRKUS-002
SETUR KUÞADASI MARÝNA;TRKUS-003
1 NOLU DEMÝRLEME SAHASI;TRKUS-004
2 NOLU DEMÝRLEME SAHASI (TEHLÝKELÝ YÜK);TRKUS-005
AKPET AKARYAKIT MERSÝN TERMÝNALÝ;TRMER-001
ALPET MERSÝN DOLUM TESÝSÝ;TRMER-002
ATAÞ MERSÝN TERMÝNALÝ;TRMER-003
LÝMAN DIÞI DEMÝR;TRMER-004
LÝMAN ÝÇÝ DEMÝR;TRMER-005
MERSÝN SERBEST BÖLGE RIHTIMI;TRMER-006
MIP MERSÝN LÝMANI;TRMER-007
NERGÝS MERSÝN TERMÝNALÝ;TRMER-008
OPET MERSÝN TERMÝNALÝ;TRMER-009
PETROL OFÝSÝ A.Þ.  MERSÝN TERMÝNALÝ;TRMER-010
ENERJÝ MERSÝN TERMÝNALÝ;TRMER-011
MERSÝN KUMKUYU YAT LÝMANI;TRMER-012
SAVKA MERSÝN TERMÝNALÝ;TRMER-013
EUROÝL KAZANLI MERSÝN TERMÝNALÝ;TRMER-014
TURKÝS ENERJÝ MERSÝN TERMÝNALÝ;TRMER-015
MARMARA ADASI ERS ÝSKELESÝ;TRMRA-001
SARAYLAR BELEDÝYE LÝMANI;TRMRA-002
YAYLA MOZAÝK ÝSKELESÝ;TRMRA-003
TUNA MADENCÝLÝK ÝSKELESÝ;TRMRA-004
MARMARA ADASI ÝSKELESÝ;TRMRA-005
AVÞA ÝSKELESÝ;TRMRA-006
PAÞALÝMANI ÝSKELESÝ;TRMRA-007
EKÝNLÝK ÝSKELESÝ;TRMRA-008
ÇINARLI ÝSKELESÝ;TRMRA-009
BADALAN RIHTIMI (Marmara Birleþik Madencilik);TRMRA-010
1 NOLU SARAYLAR DEMÝRLEME SAHASI;TRMRA-011
2 NOLU GÜNDOÐDU DEMÝRLEME SAHASI;TRMRA-012
MY MARÝNA YAT YANAÞMA YERÝ;TRMRM-001
ALBATROS MARÝNA;TRMRM-002
MARTI MARINA;TRMRM-003
MARMARÝS LÝMANI;TRMRM-004
NETSEL MARMARÝS MARÝNA;TRMRM-005
MARMARÝS ADAKÖY MARÝNA;TRMRM-006
EGESU MARÝNA (PORT ÝASOS);TRMRM-007
AKSAZ;TRMRM-008
1 NOLU DEMÝRLEME SAHASI;TRMRM-009
2 NOLU DEMÝRLEME SAHASI (ASKERÝ);TRMRM-010
BURULAÞ MUDANYA ÝSKELESÝ;TRMUD-001
ÝDO GÜZELYALI ÝSKELESÝ;TRMUD-002
1 NOLU DEMÝRLEME SAHASI;TRORD-001
2 NOLU (TEHLÝKELÝ MADDE) DEMÝRLEME SAHASI;TRORD-002
3 NOLU (UZUN SÜRELÝ) DEMÝRLEME SAHASI;TRORD-003
ÇAYELÝ LÝMANI;TRRIZ-001
RÝZE LÝMANI;TRRIZ-002
RÝZE LÝMANI DEMÝR SAHASI;TRRIZ-003
SÝNOP LÝMANI DEMÝR SAHASI;TRSIC-001
SÝNOP LÝMANI;TRSIC-002
DEMÝRLEME SAHASI;TRSIL-001
ALTINBAÞ PETROL VE TÝCARET A.Þ. (ALPET) DOLUM TESÝSÝ;TRSSX-001
AYGAZ SAMSUN TERMÝNALÝ;TRSSX-002
LÝKÝTGAZ SAMSUN DOLUM VE DEPOLAMA TERMÝNALÝ;TRSSX-003
PETROL OFÝSÝ A.Þ. SAMSUN TERMÝNALÝ;TRSSX-004
SAMSUNPORT;TRSSX-005
TOROS TARIM SAMSUN LÝMANI;TRSSX-006
AKPET AKARYAKIT SAMSUN TERMÝNALÝ;TRSSX-007
SADAÞ SAMSUN TERMÝNALÝ;TRSSX-008
YEÞÝLYURT LÝMANI;TRSSX-009
YAKAKENT BALIKÇI BARINAÐI;TRSSX-010
DEREKÖY BALIKÇI BARINAÐI;TRSSX-011
BELEDÝYE EVLERÝ BALIKÇI BARINAÐI;TRSSX-012
LÝMAN ÝÇÝ DEMÝR MEVKÝÝ;TRSSX-013
ETÝ BAKIR KIYI TESÝSÝ;TRSSX-014
TERME TERSANESÝ;TRSSX-015
1 NOLU DEMÝR SAHASI (LÝMAN ÝÇÝ 1000 GRT KÜÇÜK);TRSSX-016
2 NOLU DEMÝR SAHASI (5000 GRT KÜÇÜK);TRSSX-017
3 NOLU DEMÝR SAHASI (+5000 GRT);TRSSX-018
4 NOLU DEMÝR SAHASI (TEHLÝKELÝ YÜK);TRSSX-019
MBT KÝMYA SAMSUN LÝMANI;TRSSX-020
YENÝÇAM TERSANE RIHTIMI;TRSUR-001
1 NOLU DEMÝRLEME SAHASI;TRSUR-002
2 NOLU DEMÝRLEME SAHASI;TRSUR-003
3 NOLU DEMÝRLEME SAHASI;TRSUR-004
4 NOLU DEMÝRLEME SAHASI;TRSUR-005
5 NOLU DEMÝRLEME SAHASI;TRSUR-006
YEÞÝLOVACIK LÝMANI TAÞUCU;TRTAS-001
TAÞUCU BALIKÇI BARINAÐI, FERÝBOT VE YAT YANAÞMA ÝSKELESÝ;TRTAS-002
CEYPORT TAÞUCU ULUSLARARASI LÝMAN ÝÞL.A.Þ.;TRTAS-003
AÐALAR LÝMANI NATO ÝSKELESÝ;TRTAS-004
