sube_adi;sube_il_kodu;sube_kodu;
SEFAKÖY/İSTANBUL;034;004600292034;
SEYİTNİZAM/ZEYTİNBURNU ŞUBESİ;034;004601349034;
SEYRANTEPE ŞUBESİ;034;004600596034;
SİLİVRİ;034;004600212034;
SİRKECİ/ISTANBUL;034;004600080034;
SOĞANLIK ŞUBESİ;034;004600462034;
SULTANBEYLİ TEM ŞUBESİ;034;004600728034;
SULTANBEYLİSB;034;004600638034;
SULTANÇIFTLIĞI ŞUBESI;034;004600558034;
SULTANGAZİ ŞUBESİ;034;004601204034;
SULTANHAMAM/ISTANBUL;034;004600016034;
ŞAŞKINBAKKAL/İSTANBUL;034;004600135034;
ŞEHREMİNİ /İSTANBUL;034;004600169034;
ŞENESENEVLER;034;004600297034;
ŞIŞLI TICARI ŞUBESI;034;004600781034;
ŞİRİNEVLER/İSTANBUL;034;004600188034;
ŞİŞLİ/ISTANBUL;034;004600054034;
TAKAS ISTANBUL ŞEHİR;034;004600907034;
TAKSİM /ISTANBUL;034;004600067034;
TARABYA/İSTANBUL;034;004600262034;
TAŞDELEN ŞUBESİ;034;004601242034;
TAVUKÇUYOLU ŞUBESİ;034;004601198034;
TEKSTİLKENT ŞUBESİ;034;004601226034;
TEPEÜSTÜ ŞUBESİ;034;004600199034;
TERAZİDERE ŞUBESİ;034;004601208034;
TEŞVİKİYE /İSTANBUL;034;004600242034;
TOPÇULAR/İSTANBUL;034;004600444034;
TOPKAPI SANAYİ/İSTANBUL;034;004600449034;
TUZLA İÇMELER ŞUBESİ;034;004601277034;
TUZLA ORGANİZE SANAYİ ŞUBESİ;034;004601235034;
TUZLA/İSTANBUL;034;004600238034;
ULUS;034;004600636034;
ULUYOL CADDESI;034;004600874034;
UNKAPANI/ISTANBUL;034;004600050034;
ÜMRANİYE SANAYİ ŞUBESİ;034;004600571034;
ÜMRANİYE SANTRAL ŞUBESİ;034;004601344034;
ÜMRANİYE/İSTANBUL;034;004600140034;
ÜSKÜDAR/ISTANBUL;034;004600069034;
ÜST BOSTANCI;034;004600695034;
VADİSTANBUL;034;004601273034;
VALİDEÇEŞME/İSTANBUL;034;004600265034;
YAKUPLU ŞUBESİ;034;004601409034;
YAYLA/BAHÇELİEVLER;034;004600620034;
YENİBOSNA/İSTANBUL;034;004600416034;
YENİKÖY/İSTANBUL;034;004600407034;
YEŞİLKÖY/İSTANBUL;034;004600250034;
YEŞİLPINAR;034;004600698034;
YEŞİLYURT/İSTANBUL;034;004600157034;
YILDIZTEPE ŞUBESİ;034;004601275034;
ZEKERİYAKÖY ŞUBESİ;034;004601177034;
